Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Aggiungi utente,495,227,60,7016,"463,47","0,000%","2,85242","0,00","0,00",",0"
Aggiungi stanza,495,191,43,1680,"130,18","0,000%","2,94378","0,00","0,00",",0"
Aggiungi prenotazione,495,208,46,2995,"219,47","0,000%","2,97124","0,00","0,00",",0"
Mostra stanze,495,34,14,350,"28,54","0,000%","3,01258","0,00","0,00",",0"
Modifica utente,495,167,40,511,"78,21","0,000%","3,01730","0,22","0,00","74,0"
Mostra utenti,330,38,17,236,"29,52","0,000%","2,01443","0,00","0,00",",0"
Modifica stanze,495,191,44,621,"97,36","0,000%","3,01899","0,22","0,00","74,0"
TOTAL,3300,156,14,7016,"222,92","0,000%","18,96181","0,41","0,00","22,2"
